IMAGE_FILE,DESCRIPTION,AUTHOR
16072-joachi2.jpg,"Sad and introverted, Joachim arrives among the shepherds. Using the contrast between the lively sheep, the dog that greets him, and the knowing glances of the shepherds, [PAINTER] elucidates his state of mind in the voluminous, closed form of the saint",GIOTTO di Bondone
16980-2hague03.jpg,"Catalogue numbers: F 4, JH 187.In the years 1881-83 [PAINTER] had often visited Scheveningen, a fishing village and holiday resort on the North Sea, a few miles from The Hague. There he drew the great fishing smacks drawn up on the beach, in the manner of Hague School painters such as Henrik Mesdag and Anton Mauve","GOGH, Vincent van"
10076-04altar.jpg,"In 1504 [PAINTER] was appointed court painter to the Elector of Saxony, Frederick the Wise, and in 1505 he settled in Wittenberg. The earliest monumental work that [PAINTER] completed in his new office was the Triptych with St Catherine. The triptych is the first in a series of altarpieces in which the two brothers Frederick the Wise and John the Steadfast appear either in role portraits or closely associated with the saintly figures in the composition, mostly as half-length donors.The central panel of the trip","CRANACH, Lucas the Elder"
42761-2tempta1.jpg,Perhaps this drawing was a never implemented modello for a painting,"VERONESE, Paolo"
18219-0312grec.jpg,"[PAINTER] probably painted the portrait in Rome several years after moving there in November 1570. Here he became a friend of the Farnese family and thus part of intellectual circles with an interest in the philosophical issues of Renaissance humanism.The chalk holder on the armrest, accompanied by a book with white and red bookmarks, suggests that the unknown man in the painting might be an artist. He makes an eloquent gesture characteristic for an orator.In the absence of documentary evidence there is no b","GRECO, El"
35576-22sp1623.jpg,"His broad hat identifies the painter as a bit of a dandy, while the brushwork representing his collar displays his skill and the virtuoso modernity he learned from Titian","RUBENS, Peter Paul"
39504-20portra.jpg,"This portrait of a man has been thought to be one of the distinguished officials of the Scuola or a self-portrait of the artist. However, the latter identification is unfounded",TINTORETTO
33562-091portr.jpg,"Catalogue number: Bredius 275.The sitter of this painting was the fifty-year-old Floris Soop (1604-1657), a wealthy bachelor and ensign, or standard-bearer, in a civic guard company of his native Amsterdam. He was a collector, at his death he owned about 140 paintings as well as many books, a lute, and three violas da gamba, and about a hundred pieces of fine glassware, coins, and other collectibles",REMBRANDT Harmenszoon van Rijn
42811-5braida.jpg,"Framed by a concave aedicule with double Corinthian columns, this large painting adorns the high altar of the church, the reconstruction of which materially involved Veronese's patron Michele Sanmicheli in 1552. After the completion of the architecture of the high altar, i.e. soon after 1564, work started on the iconographically unconventional altarpiece under the influence of Tridentine reformist ideas. It omits the gruesome torture of the martyrdom, concentrating instead on the saint's moment of intercess","VERONESE, Paolo"
16028-franc07.jpg,"This is the seventh of the twenty-eight scenes (twenty-five of which were painted by [PAINTER]) of the Legend of Saint Francis.Following his vision, Pope Innocent III confirms the rule of the new Franciscan community. In a magnificent interior, constructed in perspective, the pope blesses the founder of the order and his rule. Francis' companions and the Church dignitaries follow the action with expressions of concentration. It is not least through this device that [PAINTER] makes plain the consequences of what i",GIOTTO di Bondone
10090-18altar.jpg,"These two panels, painted on both sides, depict a total of four saints. The panels are probably the wings of a triptych whose central panel is now lost. It was commissioned by the Duke of Saxony, who is portrayed with his wife in the lower half of the panels. One of the inside panels depicts St Elizabeth, Mary's cousin and the mother of St John the Baptist. Below her and shown praying in much less than life-size proportions, is the Duke. The other panel depicts St Anne, the Virgin's mother, with the Duchess","CRANACH, Lucas the Elder"
17302-selfpo29.jpg,"Catalogue numbers: F 501, JH 1634","GOGH, Vincent van"
10121-12jerome.jpg,"This panel blends two pictorial themes, depicting the penitent Jerome in the desert and the scholarly translator of the Bible in his study.The composition of this painting corresponds almost exactly with a second work, now in Berlin. Although the two are almost identical in terms of motifs, they were painted on supports of very different proportions. The Berlin panel is in a classical upright format known in the [PAINTER] workshop as 'standard format', while the Mexico painting is more broadly proportioned, i","CRANACH, Lucas the Elder"
18208-0301grec.jpg,"Like his other devotional paintings executed on panel, [PAINTER] almost certainly painted this picture as an image for private and intimate contemplation. Its technique is similar to that of icon painting, displaying a highly finished, enamel-like surface. The painting, signed on the lower left, was probably executed in the early 1570s soon after his arrival in Rome.","GRECO, El"
42944-2ceilin2.jpg,"This painting is on the ceiling of the Sala del Collegio in the Doge's Palace.Flanked by the allegories of gentleness, fidelity, vigilance and prosperity, this ceiling painting presents the personifications of Justitia and Pax before the throne of Venetia. Again, this is a political allegory symbolizing the just and peaceful rule of the Republic of Venice","VERONESE, Paolo"
42923-5allego3.jpg,"Immediately under the ceiling painting in the Stanza del Cane there are two allegorical pairs of figures, on one side the personification of Chance (another form of Fortune) crowning a sleeping man, on the other side Saturn (who was also understood as the personification of time) and Historia","VERONESE, Paolo"
42788-3pendent.jpg,"The Announcing Angel and the Virgin of the Annunciation, with their limpid colours and iridescent vibrations, are painted on the pendentives of the triumphal arch that leads into the presbytery","VERONESE, Paolo"
17177-1asylu10.jpg,"Catalogue numbers: F 672, JH 1975","GOGH, Vincent van"
33649-08landsc.jpg,"Catalogue number: Bredius 452.This small painting is [PAINTER]'s only known winter landscape. His precise depiction of an everyday country scene gives the impression that [PAINTER] painted the work on the spot, out of doors. In reality, though, the artist produced his landscape paintings in the studio, working from sketches.For the most part, [PAINTER] reserved his direct responses to the flat, open countryside of his native land for his drawings and etchings. Very few of his painted landscapes show the sam",REMBRANDT Harmenszoon van Rijn
17082-orchar03.jpg,"Catalogue numbers: F 394, JH 1379.The painter Anton Mauve married into [PAINTER] family in 1874 and became a cousin of Vincent. When [PAINTER] went to The Hague in November 1881, Mauve, who normally accepted no students, was willing to teach him the use of oil paint and watercolour. Unfortunately, the fruitful relation between the painters did not last long. When [PAINTER] started a personal liaison with Sien Hoornik, an unmarried mother and prostitute, Mauve, like others, was scandalised and broke off all c","GOGH, Vincent van"
17060-paris10.jpg,"Catalogue numbers: F 370, JH 1208.The Café du Tambourin in Montmartre was a favourite place of Parisian artists. [PAINTER] painted the portrait of the café's owner, Agostina Segatori, who sat for [PAINTER] a few times. In fact the only nudes he ever painted in oil were of her. Agostina had modelled for Corot, too.In the present portrait we see her sitting at a table in the Tambourin that resembles the musical instrument that gave the café its name. The setting of this painting was plainly inspired by Degas's ","GOGH, Vincent van"
16982-2hague05.jpg,"Catalogue numbers: F 16, JH 391","GOGH, Vincent van"
17050-still09.jpg,"Catalogue numbers: F 360, JH 1349","GOGH, Vincent van"
39411-campo.jpg,"The Scuola Grande di San Rocco is the best preserved, as regards the architecture and fittings, of Venice's six Scuole Grandi (Major Guilds) which for many centuries, together with the minor Confraternities, formed the thick network of brotherhoods of a religious nature. These were set up to help the poor and the sick, or to protect the interests of individual professions, or to help the weak and needy members of non-Venetian communities living in the city.The guild dedicated to San Rocco of Montpellier who",TINTORETTO
10286-02luthe2.jpg,"After the excommunication by Pope Leo X, Luther's life was in grave danger. To protect him from arrest and murder, Elector Frederick the Wise had him abducted and held captive at Wartburg, where he remained incognito as the aristocratic Junker Jörg.There are several versions of this portrait, the one in Leipzig is probably a repetition of an earlier version by [PAINTER] and his workshop","CRANACH, Lucas the Elder"
10103-31altar1.jpg,"The High Altar (Marienretabel) in the Market Church in Halle was executed by the [PAINTER] school. It is open at Christmas, Easter and Pentecost. The central panel depicts Mary as Queen of Heaven with the founder of the altar, Cardinal Albrecht of Brandenburg. The Blessed Mother sits enthroned in the midst of a glory on the crescent moon, surrounded by a cloud with angels. The wings show St. Mauritius on the left and St. Alexander on the right. On the Predella Mary appears in the midst of the fourteen helpers","CRANACH, Lucas the Elder"
32887-2panel4.jpg,"This portrayal of the Fall is generally attributed to [PAINTER]. Standing in a distinct contrapposto pose, Eve recalls the figure of Leda in a study by Leonardo da Vinci - [PAINTER] made a drawing of this while he was in Florence",RAFFAELLO Sanzio
16018-franc01.jpg,"This is the first of the twenty-eight scenes (twenty-five of which were painted by [PAINTER]) of the Legend of Saint Francis but this was painted probably last.A simple man spreads out his cloak before the young nobleman. He alone recognizes that Francis deserves such an honour. While Francis receives the tribute with a terse gesture, the other bystanders react with a lack of understanding. The scene of the action is clearly established, for the temple, which marks the distance between the main protagonists, i",GIOTTO di Bondone
17292-selfpo19.jpg,"Catalogue numbers: F 469, JH 1310.This self-portrait departs from the approach of earlier work. Now it is colour analogy that engages the painter's main interest, and the picture contains a cheerful, summery abundance of yellows in the shirt, face, hat and even the background. Carefully deployed violet strokes add a subtle contrastive note. It is only in the ginger of the beard that [PAINTER] still retains the principle of local colour","GOGH, Vincent van"
39728-5rape_eu.jpg,"In the beginning of the 1560s, [PAINTER] painted several mythological paintings for Philip II, among them the Rape of Europa. These painting reveal a profound sense of tortured despair",TIZIANO Vecellio
10320-09elect1.jpg,"The figures occupy only the upper part of the two small portraits, the lower part being taken up by long inscriptions. The paintings portray the two Electors in solemn dress keeping with their status. In these two small works we see the German artist's marked predilection for an almost popular realism, which is achieved by means of a crisp, forceful outline and attention to detail. In [PAINTER] the search for Italian Renaissance beauty is absent; the faces of the sovereigns, both in countenance and expression","CRANACH, Lucas the Elder"
33381-04newtes.jpg,"Catalogue number: Bredius 535.According to the Gospel of St Luke, in accordance with Mosaic Law, Jesus's parents made their way to Jerusalem to present their newborn son to the Lord and offer up a pair of turtledoves as a sacrifice. A just man, Simeon, encouraged by the Holy Spirit to go to the Temple that day, took Jesus in his arms and recognized the Lord in him. Anna, a prophetess, who lived in the Temple, also began to talk of the Child ""to all them that looked for redemption in Jerusalem""",REMBRANDT Harmenszoon van Rijn
42917-4ceilin.jpg,"At the centre of the vault is an extremely luminous representation of Faith, shown in the act of pointing out to Charity, protector of the poor, a symbol of Eternity consisting of a circle formed by a snake biting its tail and enclosing the terretrial globe","VERONESE, Paolo"
33423-66newtes.jpg,"Catalogue number: Bredius 615.In 1661, [PAINTER] painted a small group of half-length figures of apostles, each with a strongly individualized character. At present only four seem to be definitely from his hand, though others have been attributed to him. One of the four is this St Bartholomew and another, slightly distinct from the rest because [PAINTER] used himself as the model, is St Paul.St Bartholomew holds his traditional attribute, the knife with which he was flayed to death. It is, of course, no mor",REMBRANDT Harmenszoon van Rijn
18401-1901grec.jpg,"The colour and ecstatic movement is of the utmost splendour and grace, appropriate to the presentation of this particular Mystery, one of [PAINTER] favourite themes. The painting is a later and simpler version of the subject painted for the Colegio de Do&#241;a Maria, Madrid","GRECO, El"
35376-12religi.jpg,"After becoming a master in the Antwerp Guild of Saint Luke in 1598, [PAINTER] left for Italy in 1600, where he spent eight years and visited all the major cities. He spoke Italian, knew Latin, and was familiar with the great writers of Antiquity. His period in Italy allowed him to study Antique works of art and the masterpieces of the Italian Renaissance at first hand. After returning to Antwerp in 1608, he was appointed court painter to Archduke Albert and the Infanta Isabella in 1609. He was given a great ma","RUBENS, Peter Paul"
33593-135portr.jpg,"Catalogue number: Bredius 320.Jeremias de Decker (or Dekker (1610-1666) was a Dutch poet and [PAINTER]'s friend. He wrote a poem about [PAINTER]'s painting ""Christ and Mary Magdalen,"" another of his poems was entitled ""Homage to the Great [PAINTER]""",REMBRANDT Harmenszoon van Rijn
17123-arles45.jpg,"Catalogue numbers: F 470, JH 1582","GOGH, Vincent van"
33600-05group.jpg,"Catalogue number: Bredius 410.Probably [PAINTER]'s most famous and most controversial painting was given its erroneous title the Night Watch in the early 19th century. The title referred to the subdued lighting and led art critics to seek all manner of hidden mysteries in the painting. The original title, recorded in the still extant family chronicle of Captain Banning Cocq, together with a sketch of the painting, sounds rather dry by comparison: ""Sketch of the painting from the Great Hall of Cleveniers Doe",REMBRANDT Harmenszoon van Rijn
10163-56religi.jpg,"The painting depicts an event described in the Gospels. Several women wish to bring their children to Christ to have them blessed, and are turned away by the Apostles but Christ rebukes them. From the middle of the 1530s [PAINTER]'s workshop produced this painting in large numbers over a long period; more than twenty versions survived. The version in Frankfurt seems to be one of the earlier examples","CRANACH, Lucas the Elder"
35579-24spinol.jpg,"Don Ambrogio Spinola Doria, marqués de los Balbases (1569-1630), was an Italian general, at the service of Spain. He is often called ""Ambrosio"", especially in Spanish-speaking countries. The most significant act of his career was the taking of Breda, depicted in the famous painting by Velázquez.This portrait of Spinola can be compared with his other portrait by [PAINTER], presently in Braunschweig","RUBENS, Peter Paul"
32816-42ester.jpg,"[PAINTER] set his sublime and beautiful Madonnas among idealized green landscapes, as on this marvellously fine small panel now in Budapest, which was painted at the beginning of his Rome period. The unfinished nature of the work enables the viewer to catch a glimpse of the process of creation. The idyllic atmosphere of the landscape with Roman architectural motifs complement the harmonious juxtaposition of the figures and the colours. The painting was presented as a gift to the wife of Emperor Charles III by",RAFFAELLO Sanzio
42982-1allego2.jpg,"This is one of the greatest works by Veronese, whose brilliant use of colour and sensuous female figures influenced European artists from the time of Rubens to that of Delacroix. Together with four other allegorical paintings by Veronese, the picture was owned by Emperor Rudolf II in Prague. Although generally thought to show the goddess of love united by Cupid to the god of war, the picture has also been interpreted as showing Chastity transformed by Love into Charity; the horse restrained by an armed Cupi","VERONESE, Paolo"
42763-3mystic.jpg,"Famous for his scenes of banquets, showing happy, healthy, richly-dressed men and women feasting against a backdrop of gleaming white architecture, The Mystic Marriage o fSt Catherine is not one of Veronese's most opulent works. Nevertheless, it shows a scene of tenderness and joy as the Christ Child, watched over by his mother Mary, his grandmother Anne and his earthly father Joseph, places a wedding ring on the finger of the princess Catherine while his little cousin, the child Baptist, plays with his att","VERONESE, Paolo"
17001-nuenen16.jpg,"Catalogue numbers: F 36, JH 698.Van Gogh showed, in several drawings and paintings, women absorbed in work in the solitude of their homes. Sewing, spooling thread, peeling potatoes, shelling beans and preparing food were among the most frequently depicted subjects. During the day, light shone into the dark rooms through the windows, whereas lamp- or firelight illuminated the models in the evening.Van Gogh's Nuenen interiors of peasant women engaged in their work convey a certain timelessness and reflect the","GOGH, Vincent van"
16010-03facade.jpg,"The picture shows the frescoes on the interior façade. In the clerestory two scenes from the New Testament, the Miracle of the Pentecost (left) and the Ascension (right) are depicted. In the tondi St Peter (right) and St Paul (left) are represented. Next to the entrance are Scenes Nos. 14-15 of the Legend of St Francis. Above the portal the Virgin and Child between two angels can be seen. The painted arcades of the entrance arch contains figures of saints",GIOTTO di Bondone
39382-31proba.jpg,"This canvas is the least well preserved of all [PAINTER]'s paintings in the Scuola Grande di San Rocco because of repeated restoration works long ago. Two of these were carried out in the 17th century: one by [PAINTER]'s son, Domenico (1602) who redid the lower part from the young woman to the old woman turned towards Christ, and one by Lelio Bonetti (1696) and they were not removed during the restoration work in 1947 for methodological reasons.Under the thick curtain of a vine pergola, Christ, depicted i",TINTORETTO
39413-1roch.jpg,"In this painting on the wall of the church of San Rocco, depicting the story of the healer saint's visit to the lazar house, the preoccupations of assistance combine with hospital propaganda at the scuola Grande di San Rocco. It is a breathtaking interpretation of an astonishing court of miracles",TINTORETTO
39792-16farnes.jpg,"Ranuccio Farnese (1530-1565) was the son of Pier Luigi Farnese, the son of Pope Paul III. He came to Venice in 1542 to be the prior of San Giovanni dei Forlani, which belonged to the Knights of Malta. The white cross on his cloak clearly shows that he is a member of the order. Only twelve years old, Ranuccio already possess the grave bearing of an adult. The way he is looking out to the left of the picture, and the slight turning of his body, makes him look as if he is about to move from the place where the",TIZIANO Vecellio
17137-arles59.jpg,"Catalogue numbers: F 498, JH 1635.In early December 1888 [PAINTER] began a pair of pendant paintings of chairs, Gauguin's and his own. These pictures are not just still-lifes, however much the iconography is reminiscent of the allegorical use of motifs in seventeenth-century Dutch still-life. The flame of a candle, for instance, is a commonplace in these, symbolizing light and life. But these paintings are also oblique portraits. On Gauguin's chair [PAINTER] has placed two books, recognizable from the colour ","GOGH, Vincent van"
33003-04farnes.jpg,"The myth of Cupid and Psyche is depicted on the loggia of Agostino Chigi's villa. Cupid fell in love with the daughter of a king, but had to remain unrecognized by her, and so came to her only at night. After Psyche had undergone many difficult trials, Zeus made her immortal, and allowed her to marry Cupid. The unusual subject seems to be a reference to the much yearned for marriage between Chigi and Francesca Ordeaschi, with whom he already had four children. The ceremony took place on 28 August 1519",RAFFAELLO Sanzio
42814-2coccin.jpg,"Along with three other pictures for devotional purposes (the Marriage Feast at Cana, the Adoration of the Magi, and the Road to Calvary), this painting originally formed part of the furnishings of the Palazzo Coccina (now Palazzo Papadopoli) on the Grand Canal in Venice. After Charles I of England had fruitlessly tried to obtain them in 1644, the pairs of pictures passed in 1645 to Francesco I d'Este in Modena. In 1746, his descendant Francesco III sold them to Augustus III, King of Saxony.Veronese places t","VERONESE, Paolo"
16426-evang2.jpg,"Outside the walls of the city of Ephesus, John the Evangelist resurrects the faithful Drusiana. The firmness and the plasticity of the figures, which harmonize with the architecture, reinforce the dramatic presence of their movements, through which the eye is led to the central event. The tension, which already lies in the encounter between the two groups, is thus heightened further.Although thronged together, the people still display different reactions, which are obviously dependent on the distance they s",GIOTTO di Bondone
17107-3arles21.jpg,"Catalogue numbers: F 430, JH 1520.This painting of a flowering garden is a chaotic confusion of shapes and colours, full of vitality - a luxuriant scene of growth, more a jungle than a garden. There is a sheer and basic vitality in the growth in the garden, it seems unbounded, forceful, like [PAINTER] own vigour. He made a graphic version (F 1456) of this subject, too","GOGH, Vincent van"
32993-3jacob.jpg,The picture shows the fresco in the sixth vault of the Loggia of Leo X,RAFFAELLO Sanzio
39509-24venier.jpg,"Sebastiano Venier (1496-1578), descendant of one of the old patrician families of Venice, was captain-general of the Venetian fleet at the naval Battle of Lepanto in 1571. This battle resulted in a decisive victory of the allied fleets of Spain, Venice and the Holy See over the Turkish forces. The Battle of Lepanto is illustrated in the background of the portrait. Another, half-figure portrait of Venier by [PAINTER] is in the Kunsthistorisches Museum, Vienna",TINTORETTO
39780-06gloves.jpg,"The sitter on the painting is an unknown young man. It is remarkable that the energetic hands of the man get a special emphasize in the composition.Here the muted grays, blacks and whites make individual highlights of colour - such as the sitters blue eyes, red lips, and flushed ear lobes, and the chain around his neck &#151; all the more prominent. The casual though clearly contrived pose, emphasized by the signet ring on his right hand, together with the unified use of colour, clearly differentiate this p",TIZIANO Vecellio
16405-mary04.jpg,The picture shows the fresco before the restoration completed in 2002,GIOTTO di Bondone
33393-15newtes.jpg,"Catalogue number: Bredius 555.In the 1630s, landscapes were to remain in the background of [PAINTER]'s biblical paintings. The landscape backgrounds in these paintings - views through on the left, punctuated by impressive buildings - succeed in varying measure in avoiding the feel of a backdrop rather than real space.In the present painting the Precursor of Christ, having spent his entire life to date in the wilderness, enters the world to address the multitude. The countryside and its properties are part o",REMBRANDT Harmenszoon van Rijn
35510-42mythol.jpg,"The story, which has attracted not only artists but poets, including Shakespeare, tells that Adonis was the offspring of the incestuous union of King Cinyras of Paphos, in Cyprus, with his daughter Myrrha. His beauty was a byword. Venus conceived a helpless passion for him as a result of a chance graze she received from Cupid's arrow (Ovid: Metamorphoses). One day while out hunting Adonis was slain by a wild boar, an accident Venus had always dreaded. Hearing his dying groans as she flew overhead in her cha","RUBENS, Peter Paul"
