IMAGE_FILE,DESCRIPTION,AUTHOR,comment_length
16013-04bay21.jpg,"The picture shows the decoration of the second bay on the south wall (to the left from the entrance). In the lower row three scenes from the Legend of St Francis can be seen. The upper level contains scenes from Christ's childhood, while the middle level is devoted to scenes of the Passion (not by [PAINTER]). The frescoes illustrate the complex decorative program realized in the nave of the Upper Church",GIOTTO di Bondone,403
33647-06landsc.jpg,Catalogue number: Bredius 454.This painting was attributed to [PAINTER] until 1989-90. Now it is thought that it was begun by [PAINTER] in 1637-40 but the original version was overpainted in the 1650s by Ferdinand Bol. According to another explanation the underlying version was made by a pupil of [PAINTER] about 1636-41 and parts of it are a reworking by [PAINTER],REMBRANDT Harmenszoon van Rijn,366
10195-adamev06.jpg,The paintings are signed and dated,"CRANACH, Lucas the Elder",34
17033-flower06.jpg,"Catalogue numbers: F 282, JH 1165.A significant part of the pictures painted by [PAINTER] in his Parisian period belonged to the genre of still-life with flowers. These paintings can be considered experimental aiming to lighten his palette and explored colours.The characteristic features of the present still-life are the depiction of cineraria, a rarely represented flower, and the unusual diagonal cut which contrasts with [PAINTER]'s other Parisian still-lifes of frontal, symmetrical composition. The pot look","GOGH, Vincent van",587
18196-0202grec.jpg,"Small portable altarpiece with hinged wings, painted on both sides, of a type similar in form to others produced in Crete in the sixteenth century, but with an Italian Renaissance frame. The subjects on the front, from left to right, are the Adoration of the Shepherds, the Allegory of a Christian Knight, and the Baptism; and on the back, the Annunciation, Mount Sinai, and Adam and Eve.The central panel on the front, showing the Christian Knight received into Heaven, with Purgatory and Inferno below, and the","GRECO, El",2297
42958-1dieci.jpg,"This oval ceiling painting was originally the central picture gracing the ceiling of the Sala del Consiglio dei Dieci in the Doge's Palace. In 1797 it was confiscated by the art commissars of Napoleon Bonaparte and removed to Paris. In 1863 Jacopo di Andrea made a copy at the behest of the government, and this now replaces the looted original in Venice.A principal feature of the picture is the bold use of foreshortened perspectives, of which the ceiling painter was a supreme master. The sculpturally rounded","VERONESE, Paolo",571
41509-conversa.jpg,The source of this painting was a half-figure composition by Andrea Mantegna of 1495 that the anonymous painter elongated into a vertical picture,"UNKNOWN MASTER, Italian",145
41386-10colom1.jpg,"The three panels in the Brera painted by an anonymous follower of Giotto, representing scenes from the life of St Colomba, belonged to a triptych, probably executed for the old cathedral of Rimini, dedicated to St Colomba and demolished in 1815. According to a plausible theory that is not universally accepted by scholars, the panels belonged to a double-faced composition placed on the high altar of the cathedral. Other panels of this work are in the Musée Jacquemart-André, Paris; the Galleria Sabauda, Turin","UNKNOWN MASTER, Italian",1350
39782-08rimina.jpg,"Many scholars believe that [PAINTER] did not paint this portrait. The body of Riminaldi appears too flat, and the use of the table in the foreground to separate the figure from the observer is not skillful enough. When carefully compared to portraits painted by [PAINTER], it becomes clear how masterful was his ability to give his portraits a three- dimensional quality, even against a neutral background",TIZIANO Vecellio,399
16010-03facade.jpg,"The picture shows the frescoes on the interior façade. In the clerestory two scenes from the New Testament, the Miracle of the Pentecost (left) and the Ascension (right) are depicted. In the tondi St Peter (right) and St Paul (left) are represented. Next to the entrance are Scenes Nos. 14-15 of the Legend of St Francis. Above the portal the Virgin and Child between two angels can be seen. The painted arcades of the entrance arch contains figures of saints",GIOTTO di Bondone,459
18315-1203grec.jpg,"This painting is a remarkably fine reduced replica of one of [PAINTER] most haunting images, the Annunciation in the Prado, Madrid, that is almost three times as large. The Prado Annunciation formed the centre of the elaborate altarpiece commissioned from the artist in 1596 for the Colegio de Do&#241;a María de Aragón. [PAINTER] habit of making reduced replicas is amply documented. It is common knowledge that [PAINTER] kept smaller, preliminary versions of almost all his works at home to show to his custom","GRECO, El",585
17100-1arles12.jpg,"Catalogue numbers: F 410, JH 1426.In his Dutch years [PAINTER] had employed a tonal palette typical of the Barbizon painters and some of the Hague School artists. But in 1884-85 he encountered a new theory of colour in the books and articles he was reading about the French painter Delacroix. From these texts [PAINTER] derived the thesis that one of the distinguishing features and great discoveries of recent art that made it 'modern' was the use of complementary and contrasting colours in place of tonality and","GOGH, Vincent van",1611
10228-1venus03.jpg,"[PAINTER]'s depictions of the female nude, with their sophisticated sensuality and smooth, sinuous contours, have long been among the most coveted and successful of his creations. This example, which dates to 1525, is among the earliest of [PAINTER]'s intimate small scale panels of the subject of Venus and Cupid","CRANACH, Lucas the Elder",309
41377-06scene2.jpg,"This is one of two panels executed shortly before the middle of the fourteenth century in Naples, probably within the context of the Anjou court. It would appear that the Anjou had a special interest in the subject of the Apocalypse.On the panels the scenes are arranged as separate ""islands.","UNKNOWN MASTER, Italian",292
16477-4crucifi.jpg,The attribution to [PAINTER] is not accepted by the majority of scholars. It is probably the work of a follower,GIOTTO di Bondone,108
33418-62newtes.jpg,"Catalogue number: Bredius 588.This painting shows the meeting at Jacob's well and Christ's request for water. As if observed first hand, almost shocking in its documentary immediacy, [PAINTER]'s scene is among the most effective renderings of the dramatic dialog",REMBRANDT Harmenszoon van Rijn,262
42859-3turin.jpg,"The magnificent decorative style, developed in the Villa Maser, was taken even further in the 1560s, in a series of large paintings on the common theme of suppers at which Christ was present. Veronese used the stories from the Gospels as an excuse to stage sumptuous feasts in sixteenth-century dress inside grandiose and theatrical architectural perspectives, producing realistic representations of social life at the highest level. The Supper in Emmaus (Louvre, Paris), the Supper in the House of Simon (Galler","VERONESE, Paolo",593
39001-18labia.jpg,"In contrast with the ceiling paintings in Baroque churches, the ceiling in the ballroom of Palazzo Labia, with its allegorical-mythological program,, is subordinated to the walls. Its content does not appear to be closely related to that of the wall pictures.The centre panel depicts Bellerophon, the celebrated Corinthian hero, riding on Pegasus toward the Gloria. Above and below this panel are the Personification of Justice and the Personification of Nobility, respectively. Four monochrome paintings with cl","TIEPOLO, Giovanni Battista",565
35447-78religi.jpg,"This altarpiece decorated a sidealtar in the former church of the Franciscan Recollects. With its soft, grey tonality, it is an example of [PAINTER]' late style.","RUBENS, Peter Paul",158
39661-09entomb.jpg,"In the Entombment, the broader and more open brushwork that [PAINTER] was now developing serves to trap the light and add a torrid and glittering intensity to the colours. The dead weight of Christ's body is accentuated by collapsing the rhythm of the figures towards the left, resisted only by the bearded figure of Nicodemus. The latter has [PAINTER]'s features, as if the artist wanted to allocate to himself a responsible role in the burial process, just as Michelangelo had portrayed himself as Nicodemus in his u",TIZIANO Vecellio,1157
16388-chris16.jpg,The picture shows the fresco before the restoration completed in 2002,GIOTTO di Bondone,69
10298-06woman2.jpg,"As indicated by the Latin inscription in the cartouche that gives the date of the portrait, the subject was 20 years old. The composition, the turn of the figure, and the asymmetrical cropping of the arch give grounds for suggesting that originally this was a double portrait. If customary practice is a guide, the missing part of the painting may have been a depiction of the man's wife or bride-to-be.The woman on this painting shows similarity to both Catherina von Bora, Luther's wife, and Sybilla, Princess ","CRANACH, Lucas the Elder",663
42938-1ceilin0.jpg,"The picture shows paintings by Veronese in the gilt wooden ceiling of the Sala del Collegio.A narrative scene painted on a wall as a framed picture was referred to as a ""quadro riportato,"" which to seventeenth-century thinking suggested that a framed panel painting had been translated into the medium of fresco. If a picture with the perspective of a panel painting is shifted to the ceiling, it is called a ""quadro finto"" (fictitious picture). In such a case the painted architectural framing is replaced by a ","VERONESE, Paolo",795
33646-05landsc.jpg,"Catalogue number: Bredius 441.Rembrandt began painting landscapes after the middle of the 1630s. His work in this important branch of Dutch painting is a very small part of his oeuvre. Today less than ten are attributable to him. But we know he must have painted at least a few more. His 1656 inventory lists eleven, some of which are not identical with those that have survived. His other existing painted landscapes belong to a different category. They are imaginary panoramic views of broad valleys and mounta",REMBRANDT Harmenszoon van Rijn,1340
33384-07newtes.jpg,"Catalogue number: Bredius 539.In or about 1629 Rembrandt, painted this striking first version of this theme. Christ starts back in his chair, dramatically silhouetted against a blinding light as he makes himself known by the breaking of bread to the two disciples; in the next instant he will vanish out of their sight (St. Luke, Chapter XXIV, vv. 30-31). One disciple recoils in alarm, while the other, either terrified out of his mind or overcome with adoration, bows down at Christ's feet; this figure, whose ",REMBRANDT Harmenszoon van Rijn,740
41320-030franc.jpg,"It has been suggested that this panel might be the work of one of the painters from Rome who decorated the crypt of the cathedral of Anagni (Lazio) towards 1235-40. Its style  is extremely graphic: a dark line profiles the figure and the features of the face, and the folds form concentric circles","UNKNOWN MASTER, Italian",297
17203-olive05.jpg,"Catalogue numbers: F 710, JH 1856.Van Gogh entered the Saint-Paul-de-Mausole asylum at Saint-Rémy in May 1889 as a third-class voluntary patient. In the first weeks of his treatment he did not leave the area of the asylum and he only started to paint outside the walls in June 1889. During the rest of the summer the worsening of his condition did not make it possible for him to work outside, thus in July and August he painted mostly portraits and he copied pictures of his favourite artists, Millet and Delacr","GOGH, Vincent van",695
33542-63portra.jpg,"Catalogue number: Bredius 218.Around 1640 Rembrandt painted a number of portraits of distinguished, withdrawn figures, all bathed in subdued light. These include Nicolaas van Bambeeck, a relatively well-off wool merchant from Amsterdam and of his wife Agatha Bas. She was the daughter of Dirck Jacobsz. Bas, several times burgomaster of Amsterdam from 1610 onwards. In other words, the two spouses came from somewhat different social backgrounds. The sublime matching portrait of the magnificently dressed, innoc",REMBRANDT Harmenszoon van Rijn,2335
10231-1venus05.jpg,"On the panel fixed to the tree the inscription in Latin reads: ""As the Infant Cupid was stealing honey from the hollow, the bee stung the thief on the finger. Thus does brief and transitory pleasure harm us too: it is mingled with sharp pain."" This refers to the nineteenth idyll Keriokleptes (The Honey Thief) of Theocritus (310-250 BC).Cranach executed at least fifteen versions of this scene the earliest being in the National Gallery, London","CRANACH, Lucas the Elder",445
39574-11padua0.jpg,"The Scuola del Santo in Padua, the house where the brotherhood of St Anthony met, was on the edge of the square in front of the church in which the famous Franciscan saint was buried. In 1510-11 [PAINTER] worked alongside other painters to decorate two walls in the upper assembly room (Sala Capitolare) with frescoes depicting miracles from the saint's life. He painted three scenes from the Life of St Anthony of Padua: The Miracle of the Newborn Child, The Healing of the Wrathful Son, and The Miracle of the Jea",TIZIANO Vecellio,723
16478-10madonn.jpg,The painting has been cut on both sides and the lower part during the Baroque transformation of the church at the end of the 17th century,GIOTTO di Bondone,137
16053-franc23.jpg,"This is the twenty-third of the twenty-eight scenes (twenty-five of which were painted by [PAINTER]) of the Legend of Saint Francis.[PAINTER]'s authorship of some parts of the last scenes is often questioned, and in the case of those in the last bay (after No. 25, usually attributed to the St Cecilia Master) denied completely",GIOTTO di Bondone,321
15987-51border.jpg,"The four fields in the crossing vault of the lower church are framed by broad, heavily ornamented borders with diamond-shaped, small format picture fields, all filled with motifs from the Apocalypse. The focus of this subsidiary pictorial program, which was probably inspired by Bonaventura's interpretation of St Francis as the angel of the sixth seal, is the Apocalyptic Christ in the capstone of the crossing vault, from whose mouth two swords emerge and whose head, with sweeping white hair, bears a crown. I",GIOTTO di Bondone,782
42768-1marcel.jpg,"This painting is on the wall of the chancel (presbytery) of the church of San Sebastiano.The Golden Legend of Jacopo da Voragine tells the story of the brothers Mark and Marcellinus and the events before their execution in great detail. The attempts by their despairing parents to get the two martyrs, strengthened in their faith by St Sebastian, to change their minds and abandon their faith is the subject of the crowded scene, which sticks very closely to the textual source. Idealized architecture conforming","VERONESE, Paolo",871
18216-0309grec.jpg,"A translation in paint of Michelangelo's late sculptured group of the Piet&#224; in Florence Cathedral, at the time in Rome. The pattern and the feeling are the same. The figures of the Dead Christ, His Mother, Saint Mary Magdalene and Joseph of Arimathea make one compact group. Michelangelo achieved this by his new treatment of form; [PAINTER] by paint, by employing broader, more continuous passages of colour. The more vivid colours of Rome combine with the richer palette of Venice to convey the intensity o","GRECO, El",1290
39705-07anadyo.jpg,"The word ""Anadyomene"", which means ""one who has surfaced"", is a reference to the birth of Venus. According to classical mythology and the poetry of Hesiod (ca. 700 BC), Venus rose fully formed from the ocean in Paphos on Cyprus (or Cythera). This is the moment depicted by [PAINTER]. The relatively small painting shows one of his women's figures typical of the 1510s and 1520s. This painting should be seen not as a portrait of an individual but as a depiction of female beauty",TIZIANO Vecellio,475
39050-3ariost31.jpg,"This scene is on the wall of the room of Ariosto.In front of an extensive, yet barely-developed landscape, Angelica carves the name of her beloved onto a tree. She has her back to the viewer and is looking down at Medoro, who sits to her left.This was a popular scene in Italian Baroque painting. It was the discovery of these proofs of their love that caused Orlando's jealous rage","TIEPOLO, Giovanni Battista",382
16359-12figure.jpg,The band is at the left side of Joachim among the Shepherds,GIOTTO di Bondone,59
39037-2homer1.jpg,"The first room on the ground floor of the Palazzina was painted by Giovanni Battista Tiepolo with scenes after Homer's Iliad. The scenes in this room are The Rage of Achilles, Eurybates and Talthybios Lead Briseis to Agamemmon (scenes shown in the present photo), and Thetis Consoling Achilles. Fourth scene depicts a Landscape with Cupid","TIEPOLO, Giovanni Battista",338
17065-paris15.jpg,"Catalogue numbers: F 313, JH 1251.This picture shows an inviting restaurant in Asnières. Van Gogh's unique facility for communicating his feelings directly by means of his brushwork is already in evidence. The light and the associated atmospheric effects have become the actual subject of the picture, very much in the spirit of the Impressionists. Although still restrained, the painting is defined in terms of colour by contrasting complementary colours: blue and orange, red and green.By the middle of 1887 a ","GOGH, Vincent van",1297
33565-094portr.jpg,"Catalogue number: Bredius 114.The figure on this painting is an ideal type, although the facial features recall [PAINTER]'s wife, Saskia, who died in 1642. It is often observed that in this picture [PAINTER] emulates Titian's Flora, which until 1641 was in Amsterdam for a few years.The painting has suffered from linings and abrasion",REMBRANDT Harmenszoon van Rijn,334
35504-33mythol.jpg,"Ovid (Met. 4:665-739) tells how Andromeda, daughter of an Ethiopian king, was chained to a rock by the sea-shore as a sacrifice to a sea-monster. Perseus, the son of Zeus and Dana&#235;, flying overhead, fell in love at first sight. He swooped down just in time, slew the monster and released Andromeda. He is shown, sword and shield in hand, hovering in the air near the girl. The monster approaches through the waves. The anguished parents and other onlookers stand on the shore","RUBENS, Peter Paul",480
17098-1arles10.jpg,"Catalogue numbers: F 422, JH 1470.The plain of La Crau spreads to the southeast of Arles. It is as flat as [PAINTER] native country. La Crau is surrounded on all sides by hills. These offered [PAINTER] an opportunity to escape the flatland, to withdraw to a greater distance from where he commanded a panoramic view of the whole region. The figure of sower is depicted on the broad plain of La Crau. This painting follows [PAINTER] depictions of the harvest, just as in reality the sower does his sowing only wh","GOGH, Vincent van",670
38985-05labia1.jpg,This is a bozzetto for the wall painting [PAINTER] executed in the ballroom of Palazzo Labia in Venice,"TIEPOLO, Giovanni Battista",100
18241-0602grec.jpg,"This is probably the earliest extant portrait which [PAINTER] painted in Toledo. The treatment, with the greater continuity of brushstroke, is related to that of his portrait of Vincenzo Anastagi of his last years in Italy, and to his first paintings in Spain. In the manner of Titian, the lynx fur is freely and vigorously painted. The dark tafts have been cleverly arranged so that they seem to splay out from the sitter, thereby enhancing and vivifying her. The identity of the sitter is not known, but clearly","GRECO, El",1652
38933-12madon.jpg,"The painting was formerly in a chapel in the church of Sant'Apollinare, Venice. After the suppression of the church, the picture was taken to France and cut in two. Both pieces were bought by the Chiesa family for the Brera, the painting was restored to its original form in 1950.In this large painting, [PAINTER] confronted the style of Piazzetta, and at the same time returned to elements of the great Venetian models of the Cinquecento, such as Veronese's Pala di San Zaccaria","TIEPOLO, Giovanni Battista",477
10129-20jerome.jpg,"Albrecht of Brandenburg (1490-1545) was Elector and Archbishop of Mainz from 1514 to 1545, and Archbishop of Magdeburg from 1513 to 1545. He appears in the role of St Jerome in four paintings by [PAINTER]. Two of them show the Church Father, alias Albrecht, in his study, and two in a landscape, though the latter two show him not as a penitent, but as an author, like the two indoor scenes","CRANACH, Lucas the Elder",388
41518-virgin_c.jpg,"This mysterious but powerful altarpiece was executed by a still anonymous follower of Piero di Cosimo. The strange types and especially the angular sense of rhythm and intensity are deeply indebted to Piero's altarpieces. The four represented saints are Francis, Jerome, John the Evangelist and the Baptist","UNKNOWN MASTER, Italian",306
33493-00portra.jpg,"Catalogue number: Bredius 72.This little tronie (character head) is one of the earliest indications in [PAINTER]'s oeuvre of his interest in oriental culture. The sitter had modelled for [PAINTER] and other painters in his circle in Leiden in a variety of roles.In these years [PAINTER] was concerned above all with light and shadow, which would occupy him to the end of his life. He experimented with light when studying and recording the forms of the head. In the present painting our attention is immediately ",REMBRANDT Harmenszoon van Rijn,615
33639-22sp1669.jpg,"Catalogue number: Bredius 60.Since 1676, this painting is documented in the world famous Florentine collection of self-portraits initiated in 1664 by Leopoldo de' Medici (1617-1675), who became cardinal in 1667. Leopoldo was an art collector as well as a poet, politician, amateur painter and participant in the European-wide Republic of Letters.The painting is covered by a thick layer of yellowed and degraded varnish, consequently many details are difficult to distinguish. Probably the painting was originall",REMBRANDT Harmenszoon van Rijn,534
